Estado,Total,Porcentaje,,,
Aguascalientes,30495,2.139088823,,,
Baja California,90708,2.406673353,,,
Baja California Sur,35260,4.416072701,,,
Campeche,28012,3.017354203,,,
Coahuila,65826,2.091858607,,,
Colima,18464,2.524504677,,,
Chiapas,83478,1.505782647,,,
Chihuahua,85956,2.297140814,,,
Ciudad de México,259277,2.815185413,,,
Durango,26386,1.439773006,,,
Guanajuato,150997,2.448493854,,,
Guerrero,367583,10.38169168,,,
Hidalgo,65179,2.114251108,,,
Jalisco,193671,2.319926892,,,
México,422774,2.488015537,,,
Michoacán,102849,2.165768273,,,
Morelos,51439,2.609103636,,,
Nayarit,15367,1.243832237,,,
Nuevo León,130245,2.251643287,,,
Oaxaca,238740,5.777624616,,,
Puebla,157547,2.393139102,,,
Querétaro,59723,2.521588859,,,
Quintana Roo,70784,3.809718593,,,
San Luis Potosí,73314,2.597709987,,,
Sinaloa,57198,1.88962924,,,
Sonora,59163,2.00903954,,,
Tabasco,52093,2.168194596,,,
Tamaulipas,62809,1.780434188,,,
Tlaxcala,26544,1.976504438,,,
Veracruz,284262,3.525695686,,,
Yucatán,88567,3.816066023,,,
Zacatecas,23738,1.463377345,,,
