Entidad_federativa,Sexo,Preescolar,Preparatoria,Primaria,Secundaria,Sin_escolaridad
Aguascalientes,Hombres,8936,5961,21281,10901,5176
Aguascalientes,Mujeres,8752,6277,20103,10431,4890
Aguascalientes,Total,17689,12238,41383,21332,10066
Baja California,Hombres,18500,16505,48412,25763,13044
Baja California,Mujeres,18115,16819,46040,24017,12476
Baja California,Total,36616,33323,94452,49780,25522
Baja California Sur,Hombres,4711,3571,10747,5316,2402
Baja California Sur,Mujeres,4616,3528,10274,4958,2295
Baja California Sur,Total,9327,7099,21021,10274,4697
Campeche,Hombres,5976,3541,13079,6402,3096
Campeche,Mujeres,5847,3629,12441,6210,2932
Campeche,Total,11824,7171,25519,12612,6028
Chiapas,Hombres,41343,20860,101919,40401,26721
Chiapas,Mujeres,40802,19725,101512,39475,26525
Chiapas,Total,82145,40585,203432,79877,53246
Chihuahua,Hombres,19478,15332,52945,26695,14629
Chihuahua,Mujeres,19143,16064,50199,25473,13882
Chihuahua,Total,38620,31396,103144,52168,28509
Ciudad de México,Hombres,41891,34552,91186,52731,16129
Ciudad de México,Mujeres,40724,35229,87474,49437,15456
Ciudad de México,Total,82613,69781,178661,102169,31585
Coahuila,Hombres,19342,13192,42487,22503,11746
Coahuila,Mujeres,18805,13121,40557,21673,11242
Coahuila,Total,38148,26313,83043,44176,22990
Colima,Hombres,4180,2888,9910,4849,2136
Colima,Mujeres,4015,3027,9334,4655,2079
Colima,Total,8195,5914,19243,9503,4217
Durango,Hombres,11629,7356,28394,14060,7358
Durango,Mujeres,11272,7881,26720,13301,6964
Durango,Total,22901,15237,55115,27360,14321
Guanajuato,Hombres,38472,23367,89676,48426,20049
Guanajuato,Mujeres,37566,25543,85796,46254,19284
Guanajuato,Total,76040,48910,175470,94681,39333
Guerrero,Hombres,26120,14101,58573,26954,10986
Guerrero,Mujeres,25817,14901,56209,27220,10556
Guerrero,Total,51936,29002,114782,54174,21543
Hidalgo,Hombres,17963,13304,44207,23537,9678
Hidalgo,Mujeres,17676,14184,42502,22441,9308
Hidalgo,Total,35640,27488,86708,45978,18987
Jalisco,Hombres,48667,31938,118554,59901,27299
Jalisco,Mujeres,47848,34845,111991,56854,25811
Jalisco,Total,96514,66784,230544,116754,53108
Michoacán,Hombres,31099,15577,74558,33289,16296
Michoacán,Mujeres,30743,17367,70319,33104,15515
Michoacán,Total,61841,32944,144877,66392,31811
Morelos,Hombres,11216,7480,26133,13899,6104
Morelos,Mujeres,10953,7951,24731,13200,5803
Morelos,Total,22169,15431,50862,27101,11906
México,Hombres,92849,74753,225530,122482,50847
México,Mujeres,91279,77155,216650,117287,49059
México,Total,184127,151907,442180,239769,99906
Nayarit,Hombres,7882,4990,18522,8933,4131
Nayarit,Mujeres,7686,5353,17477,8420,3924
Nayarit,Total,15568,10343,36000,17352,8055
Nuevo León,Hombres,33992,21089,71871,39945,18090
Nuevo León,Mujeres,32979,20698,68821,38415,17319
Nuevo León,Total,66971,41787,140692,78360,35409
Oaxaca,Hombres,28467,14098,66011,31600,12842
Oaxaca,Mujeres,28253,15368,63755,31158,12446
Oaxaca,Total,56720,29466,129765,62758,25289
Puebla,Hombres,43456,27652,100282,48080,20463
Puebla,Mujeres,42649,29195,96009,46879,19495
Puebla,Total,86105,56847,196290,94959,39958
Querétaro,Hombres,13994,8942,32303,16452,7292
Querétaro,Mujeres,13512,9835,30645,15818,7009
Querétaro,Total,27506,18778,62948,32270,14301
Quintana Roo,Hombres,10506,7134,24677,12221,6632
Quintana Roo,Mujeres,10261,7333,23670,11817,6330
Quintana Roo,Total,20766,14467,48347,24038,12962
San Luis Potosí,Hombres,18454,11506,39873,21778,7341
San Luis Potosí,Mujeres,18126,12315,37919,20952,6982
San Luis Potosí,Total,36581,23821,77794,42731,14323
Sinaloa,Hombres,16790,13421,41707,20662,9284
Sinaloa,Mujeres,16082,14090,39040,19848,8896
Sinaloa,Total,32873,27511,80751,40511,18179
Sonora,Hombres,15469,13156,40033,21639,10128
Sonora,Mujeres,15114,13550,37821,20171,9715
Sonora,Total,30584,26707,77855,41810,19843
Tabasco,Hombres,16965,10956,35864,17046,6617
Tabasco,Mujeres,16607,10699,34432,16776,6262
Tabasco,Total,33571,21655,70297,33822,12878
Tamaulipas,Hombres,18826,14688,48456,24257,12077
Tamaulipas,Mujeres,18276,15137,45928,23397,11622
Tamaulipas,Total,37104,29826,94385,47653,23697
Tlaxcala,Hombres,7861,5885,19000,10086,4588
Tlaxcala,Mujeres,7737,6154,18134,9506,4375
Tlaxcala,Total,15598,12038,37134,19593,8963
Veracruz,Hombres,45524,31422,113832,54074,25166
Veracruz,Mujeres,44565,32809,108536,52643,24043
Veracruz,Total,90088,64231,222367,106717,49208
Yucatán,Hombres,14292,8861,30828,15687,6086
Yucatán,Mujeres,13966,9398,29304,15334,5757
Yucatán,Total,28256,18259,60132,31021,11842
Zacatecas,Hombres,11255,6059,24941,12636,5305
Zacatecas,Mujeres,11136,6785,23755,12093,5085
Zacatecas,Total,22392,12844,48696,24729,10390
